id1,id2,shared_cm_total,n_segments,max_segment_cm,mean_segment_cm,P_IBD_ge1_approx
HG00158,HG01054,1.05662,1,1.05662,1.05662,0.004894844120752753
HG00158,HG01551,1.06033,1,1.06033,1.06033,0.004912030878232257
HG00158,NA12872,1.14167,1,1.14167,1.14167,0.00528884242900929
HG00159,HG00358,1.09854,1,1.09854,1.09854,0.0050890405826235835
HG00159,HG01060,1.03925,1,1.03925,1.03925,0.004814376741394541
HG00159,HG01786,1.06952,1,1.06952,1.06952,0.004954604005250218
HG00160,HG00261,1.18598,1,1.18598,1.18598,0.0054941106834343004
HG00160,NA18942,1.08346,1,1.08346,1.08346,0.005019181740900967
HG00160,NA21108,1.00272,1,1.00272,1.00272,0.004645149719635443
HG00171,HG00177,1.02981,1,1.02981,1.02981,0.004770645477080116
HG00171,HG00365,1.02981,1,1.02981,1.02981,0.004770645477080116
HG00171,HG00373,1.11587,1,1.11587,1.11587,0.005169322660014361
HG00171,HG00383,1.04411,1,1.04411,1.04411,0.004836890930437771
HG00171,HG01168,1.02981,1,1.02981,1.02981,0.004770645477080116
HG00171,HG01173,1.35233,1,1.35233,1.35233,0.006264735240500437
HG00171,HG01479,1.00931,1,1.00931,1.00931,0.004675678218770193
HG00171,HG04107,1.0653,1,1.0653,1.0653,0.00493505464768593
HG00171,NA11931,1.13709,1,1.13709,1.13709,0.005267625353738098
HG00171,NA19056,1.08945,1,1.08945,1.08945,0.005046930710524207
HG00171,NA20512,1.66325,1,1.66325,1.66325,0.007705087433364896
HG00171,NA20899,1.02981,1,1.02981,1.02981,0.004770645477080116
HG00174,HG00125,1.03774,1,1.03774,1.03774,0.0048073815921239075
HG00174,HG00321,1.00225,1,1.00225,1.00225,0.004642972421518093
HG00174,NA18942,1.03774,1,1.03774,1.03774,0.0048073815921239075
HG00176,HG01632,1.04939,1,1.04939,1.04939,0.004861350790139059
HG00180,HG00239,1.01406,1,1.01406,1.01406,0.00469768282740298
HG00180,HG00321,1.39601,1,1.39601,1.39601,0.0064670849889383614
HG00180,HG00331,1.08341,1,1.08341,1.08341,0.005018950113441673
HG00181,HG00115,1.07219,1,1.07219,1.07219,0.004966972911576437
HG00181,HG00174,1.06547,1,1.06547,1.06547,0.004935842181047525
HG00181,HG01073,1.05361,1,1.05361,1.05361,0.004880900147703345
HG00181,HG01398,1.0454,1,1.0454,1.0454,0.004842866918887518
HG00181,HG02185,1.06547,1,1.06547,1.06547,0.004935842181047525
HG00181,HG02655,1.00989,1,1.00989,1.00989,0.004678365097297986
HG00181,NA12776,1.11272,1,1.11272,1.11272,0.005154730130078934
HG00181,NA18942,1.03774,1,1.03774,1.03774,0.0048073815921239075
HG00186,HG00358,2.1751300000000002,2,1.15136,1.0875650000000001,0.01007639671061776
HG00186,HG03947,1.33759,1,1.33759,1.33759,0.006196451465501009
HG00186,NA18611,1.39029,1,1.39029,1.39029,0.0064405868075953
HG00190,HG00331,1.0657,1,1.0657,1.0657,0.004936907667360271
HG00190,HG01710,1.08711,1,1.08711,1.08711,0.005036090545429318
HG00190,HG03922,1.11587,1,1.11587,1.11587,0.005169322660014361
HG00233,HG00118,1.00401,1,1.00401,1.00401,0.004651125708085189
HG00233,HG01049,1.12778,1,1.12778,1.12778,0.0052244963208178345
HG00233,HG01779,1.21483,1,1.21483,1.21483,0.005627759727446072
HG00234,HG00125,1.18925,1,1.18925,1.18925,0.00550925911927203
HG00234,HG00351,1.32445,1,1.32445,1.32445,0.00613557976919894
HG00234,HG02230,1.10185,1,1.10185,1.10185,0.005104374320428746
HG00238,HG00242,1.12702,1,1.12702,1.12702,0.005220975583436588
HG00238,HG00632,1.02258,1,1.02258,1.02258,0.004737152146466422
HG00238,HG00675,1.0664,1,1.0664,1.0664,0.004940150451790366
HG00238,HG01565,1.21483,1,1.21483,1.21483,0.005627759727446072
HG00238,NA18638,1.19581,1,1.19581,1.19581,0.0055396486419312056
HG00239,HG00349,1.25516,1,1.25516,1.25516,0.005814590436111399
HG00239,HG01121,1.06033,1,1.06033,1.06033,0.004912030878232257
HG00239,NA12890,1.41593,1,1.41593,1.41593,0.006559365368720492
HG00242,HG02050,1.03262,1,1.03262,1.03262,0.004783662940292355
HG00242,HG02058,1.01841,1,1.01841,1.01841,0.004717834416361428
HG00242,NA20797,1.00401,1,1.00401,1.00401,0.004651125708085189
HG00242,NA20812,1.08711,1,1.08711,1.08711,0.005036090545429318
HG00250,HG01624,1.08278,1,1.08278,1.08278,0.005016031607454588
HG00250,NA11829,1.11166,1,1.11166,1.11166,0.0051498196279419345
HG00265,HG00097,1.04411,1,1.04411,1.04411,0.004836890930437771
