ID1	ID2	n_segments	total_shared_cm	max_segment_cm
HG03111	NA18517	1	0.51	0.51
NA20866	NA20869	1	3.308	3.308
NA19385	NA19404	1	0.706	0.706
HG01537	HG01606	1	0.541	0.541
NA18867	NA19113	1	0.617	0.617
HG03363	NA19190	1	0.524	0.524
HG03382	HG03432	1	0.537	0.537
HG01390	HG02278	1	0.532	0.532
HG00177	HG00280	1	0.831	0.831
HG01052	HG03304	1	0.539	0.539
NA20774	NA21123	1	0.565	0.565
HG01351	HG01676	1	0.58	0.58
HG03711	HG04035	1	0.628	0.628
HG00274	HG00357	1	0.59	0.59
HG00188	HG00278	1	0.57	0.57
HG00475	HG00542	1	0.539	0.539
HG00113	HG00641	1	0.506	0.506
HG00282	HG00319	1	0.511	0.511
HG01896	HG02325	1	0.561	0.561
HG00108	HG00263	1	0.596	0.596
NA19376	NA19430	1	0.556	0.556
HG04063	NA21104	1	0.525	0.525
HG01988	NA19037	1	0.519	0.519
HG03905	HG03911	1	0.535	0.535
NA19309	NA19375	1	0.521	0.521
HG03773	HG04171	1	0.571	0.571
HG02265	HG02292	1	0.517	0.517
HG02054	HG03121	1	0.548	0.548
HG01271	HG01550	1	0.614	0.614
HG01271	HG03785	1	3.278	3.278
HG00284	HG00331	1	0.52	0.52
HG00274	HG00364	1	0.602	0.602
HG03773	HG03785	1	0.546	0.546
HG00113	HG00154	1	0.604	0.604
HG03162	NA19116	1	0.554	0.554
HG00173	HG00326	1	0.542	0.542
HG00139	HG04212	1	0.508	0.508
HG01305	NA19042	1	0.6	0.6
HG01936	HG02265	1	0.52	0.52
HG01965	HG02104	1	0.589	0.589
HG00185	HG00309	1	0.639	0.639
HG03684	NA21087	1	0.53	0.53
NA19027	NA19042	1	0.547	0.547
NA19376	NA19397	1	0.664	0.664
HG02497	NA19900	1	0.559	0.559
HG00251	NA21105	1	0.506	0.506
HG03159	NA18858	1	0.557	0.557
HG01073	HG02292	1	0.52	0.52
HG01527	HG01705	1	0.542	0.542
NA19317	NA19347	1	0.532	0.532
HG00372	HG04020	1	0.5	0.5
NA19401	NA19913	1	0.53	0.53
HG01055	HG01073	1	0.611	0.611
HG01171	HG03246	1	0.504	0.504
HG00284	HG00342	1	0.548	0.548
HG02493	HG04106	1	3.305	3.305
HG01113	HG01351	1	0.574	0.574
HG01131	HG01685	1	0.519	0.519
HG01069	HG01111	1	0.527	0.527
HG00173	HG00335	1	0.51	0.51
HG00174	HG00357	1	0.562	0.562
HG01048	HG01188	1	0.559	0.559
NA20542	NA20764	1	0.613	0.613
HG03077	NA19036	1	0.523	0.523
NA20296	NA20318	2	1.039	0.52
HG03363	NA19312	1	0.508	0.508
HG01894	HG02337	1	0.707	0.707
NA19031	NA19397	1	0.627	0.627
HG03130	NA18910	1	0.557	0.557
NA19031	NA19399	2	1.1	0.589
HG00361	NA12144	1	0.501	0.501
HG00173	NA12003	1	0.53	0.53
NA19042	NA19404	1	0.702	0.702
HG00232	NA12750	1	0.61	0.61
NA19036	NA19038	1	0.653	0.653
HG00280	HG00281	1	0.551	0.551
HG01052	NA12828	1	0.754	0.754
NA19403	NA19437	1	0.584	0.584
HG01054	HG01060	1	0.51	0.51
HG01205	NA12778	1	0.501	0.501
HG00180	HG00188	1	0.558	0.558
HG00180	HG00189	1	0.506	0.506
HG01054	HG01066	1	0.574	0.574
HG01069	HG01073	2	1.355	0.834
HG00282	HG00342	2	1.153	0.608
HG00272	HG00376	1	0.566	0.566
HG02047	HG02364	1	0.572	0.572
HG01054	HG01069	1	0.753	0.753
HG03130	NA18870	1	0.65	0.65
HG00137	HG01052	1	0.568	0.568
HG01550	HG04106	1	3.293	3.293
HG00699	HG02384	1	0.605	0.605
HG03105	HG03366	1	0.543	0.543
HG01882	HG03303	1	0.569	0.569
HG02623	HG02860	1	3.373	3.373
HG00112	HG01620	1	0.536	0.536
HG01882	NA19431	1	0.513	0.513
HG00119	HG00284	1	0.55	0.55
HG03428	HG03521	1	0.571	0.571
HG00353	NA12272	1	0.539	0.539
NA19385	NA19399	1	0.505	0.505
NA19399	NA19431	1	0.563	0.563
HG01360	NA20535	1	0.581	0.581
NA19399	NA19438	1	0.619	0.619
HG01894	NA19917	1	0.509	0.509
NA11881	NA19789	1	0.533	0.533
HG00640	HG01191	1	0.79	0.79
NA18924	NA19448	1	0.502	0.502
HG02121	HG02522	1	0.52	0.52
HG00185	HG00335	1	0.519	0.519
NA12154	NA12717	1	0.539	0.539
HG03873	HG03885	1	0.616	0.616
HG03079	HG03436	1	0.532	0.532
NA20892	NA21119	1	0.803	0.803
HG00640	HG01697	1	0.57	0.57
HG02497	NA19430	1	0.517	0.517
HG00640	HG01248	1	0.6	0.6
NA19384	NA19430	1	0.507	0.507
NA19376	NA19472	1	3.298	3.298
HG02493	HG04080	1	3.324	3.324
HG02325	NA19316	1	0.534	0.534
HG00130	NA20764	1	0.796	0.796
HG01631	NA20892	1	0.514	0.514
NA19317	NA19376	1	0.624	0.624
HG03785	NA20866	1	3.312	3.312
NA19429	NA19456	1	0.524	0.524
HG02156	HG02380	2	1.162	0.584
NA19309	NA19467	1	0.501	0.501
HG03693	HG04100	1	3.311	3.311
HG03785	NA20869	1	3.296	3.296
HG03838	NA20795	1	3.267	3.267
HG00173	HG00364	1	0.527	0.527
HG01167	HG01187	1	0.791	0.791
HG00310	HG00362	1	0.553	0.553
HG03784	HG03785	1	0.669	0.669
HG00739	NA12814	1	0.503	0.503
HG00130	HG00139	1	0.508	0.508
HG00320	HG00335	1	0.523	0.523
HG03672	HG03836	1	0.533	0.533
HG02497	NA19446	1	0.578	0.578
NA21109	NA21117	1	0.513	0.513
HG03105	NA19116	1	0.597	0.597
NA19384	NA19446	1	0.51	0.51
HG02265	NA20299	1	0.537	0.537
HG01390	NA20867	1	3.307	3.307
NA19317	NA19384	1	0.518	0.518
HG00320	NA12005	1	0.586	0.586
HG01550	HG04080	1	3.293	3.293
HG01113	NA20763	1	3.288	3.288
HG03711	HG04090	1	0.864	0.864
HG00282	HG00375	1	0.635	0.635
HG02166	HG02364	1	0.509	0.509
HG02054	HG02337	1	0.608	0.608
HG00310	HG00376	1	0.605	0.605
NA21109	NA21122	2	1.461	0.789
HG02292	NA19746	1	0.518	0.518
HG03130	NA18501	1	0.508	0.508
HG03088	NA19117	1	0.521	0.521
HG01354	NA19773	1	0.521	0.521
HG02144	NA19038	1	0.518	0.518
HG01354	HG03649	1	3.368	3.368
NA19031	NA19036	1	0.54	0.54
NA21109	NA21127	1	0.819	0.819
HG00108	HG00375	1	0.595	0.595
HG01073	NA20299	1	0.517	0.517
HG01572	HG01918	1	0.547	0.547
HG01807	HG02521	1	0.519	0.519
HG01055	HG01170	1	0.576	0.576
HG00475	HG04171	1	0.515	0.515
HG00180	HG00320	1	0.566	0.566
HG02166	HG02373	1	0.584	0.584
HG00130	HG04212	1	0.616	0.616
HG02144	HG03366	1	0.521	0.521
HG01342	HG01440	1	0.625	0.625
HG00127	HG01173	1	0.508	0.508
HG00641	HG02236	1	0.556	0.556
HG00626	HG02384	1	0.524	0.524
HG03130	NA19900	1	0.541	0.541
NA19384	NA19467	1	0.811	0.811
HG04195	NA21119	1	0.528	0.528
HG03159	NA19900	1	0.554	0.554
HG00376	NA12750	1	0.512	0.512
NA20849	NA21128	1	0.745	0.745
NA19327	NA19376	1	0.534	0.534
NA19773	NA21123	1	0.65	0.65
HG00252	NA20813	1	3.339	3.339
NA18858	NA18871	1	0.525	0.525
HG01060	HG01067	2	1.202	0.64
HG00626	HG00708	1	0.524	0.524
HG03343	HG03352	1	0.554	0.554
HG00330	HG01670	1	0.516	0.516
HG00180	HG00336	2	1.143	0.614
HG02971	HG03267	1	0.526	0.526
NA19384	NA19471	1	0.532	0.532
HG02562	NA19222	1	0.523	0.523
HG02220	NA12489	1	0.532	0.532
NA20508	NA20754	1	0.516	0.516
HG03378	NA19909	1	0.567	0.567
HG01054	HG01171	2	1.037	0.53
HG02734	NA20513	1	3.317	3.317
HG02371	HG02399	1	0.531	0.531
HG02493	HG03785	1	3.301	3.301
HG02573	HG02574	1	0.503	0.503
HG02895	HG03088	1	0.51	0.51
HG01251	HG01345	1	0.526	0.526
HG01131	HG01356	1	0.611	0.611
HG01488	HG02265	1	0.597	0.597
HG00334	HG00361	1	0.747	0.747
NA12045	NA12814	1	3.325	3.325
HG00310	HG02235	1	0.534	0.534
HG01894	HG02455	1	0.507	0.507
HG02497	NA19036	1	0.52	0.52
HG00331	HG00336	1	0.616	0.616
NA21117	NA21119	1	0.582	0.582
HG00362	NA12286	1	3.336	3.336
HG03672	NA20890	1	0.55	0.55
NA19331	NA19334	11	6.453	0.704
NA19320	NA19347	2	1.063	0.538
HG00121	NA12413	1	3.357	3.357
HG01357	NA12750	1	0.508	0.508
NA19312	NA19438	1	0.568	0.568
HG01073	HG01131	1	0.534	0.534
HG01204	NA20524	1	0.554	0.554
HG02292	HG02312	1	0.549	0.549
HG00353	NA20507	1	0.555	0.555
HG01251	HG01351	1	0.731	0.731
HG01550	HG03785	1	3.293	3.293
HG00157	HG00173	1	0.515	0.515
HG00698	NA19080	1	0.525	0.525
HG03133	HG03303	1	0.679	0.679
HG00231	HG00277	1	0.553	0.553
HG02682	NA19682	1	0.618	0.618
HG03159	NA19383	1	3.34	3.34
NA21104	NA21127	1	0.553	0.553
HG02139	HG02179	1	0.63	0.63
HG03873	HG03998	3	1.679	0.625
HG02307	HG03366	1	0.617	0.617
NA20803	NA20875	1	0.523	0.523
NA12889	NA20759	1	0.645	0.645
HG00119	NA19750	1	0.522	0.522
HG02493	NA20866	1	3.336	3.336
NA12045	NA12282	1	0.511	0.511
HG02493	NA20869	1	3.286	3.286
HG02054	HG03270	1	0.503	0.503
HG04080	HG04106	1	3.317	3.317
NA19438	NA19468	1	0.513	0.513
HG02805	NA19429	1	3.256	3.256
NA07056	NA12889	1	0.58	0.58
HG01052	HG01188	1	0.575	0.575
HG01697	NA20803	1	3.283	3.283
HG00245	NA20507	1	0.543	0.543
HG00121	HG00261	1	0.75	0.75
HG00190	HG00335	1	0.566	0.566
HG01177	HG01187	1	0.799	0.799
HG03727	NA20866	1	0.51	0.51
HG00245	HG00271	1	0.534	0.534
