0 HG00125 0 HG00123 0.0557987
0 HG00131 0 HG00101 0.0552349
0 HG00131 0 HG00122 0.0550439
0 HG00173 0 HG00110 0.047478
0 HG00190 0 HG00131 0.0490216
0 HG00190 0 HG00176 0.0450904
0 HG00234 0 HG00122 0.0479091
0 HG00234 0 HG00131 0.0588808
0 HG00234 0 HG00233 0.0486646
0 HG00250 0 HG00131 0.0442674
0 HG00250 0 HG00233 0.0499108
0 HG00250 0 HG00234 0.0562776
0 HG00257 0 HG00239 0.0473337
0 HG00334 0 HG00233 0.0467079
0 HG00334 0 HG00274 0.0472168
0 HG00357 0 HG00321 0.0443613
0 HG00362 0 HG00250 0.0452536
0 HG00362 0 HG00310 0.0518692
0 HG00365 0 HG00176 0.0460674
0 HG00376 0 HG00362 0.046056
0 HG00379 0 HG00274 0.0472554
0 HG00379 0 HG00310 0.0501111
0 HG00611 0 HG00560 0.0519139
0 HG00663 0 HG00428 0.046057
0 HG00663 0 HG00533 0.0464755
0 HG00699 0 HG00463 0.0457078
0 HG00701 0 HG00533 0.0504492
0 HG00701 0 HG00590 0.0446718
0 HG00729 0 HG00407 0.0497902
0 HG00729 0 HG00428 0.0446031
0 HG01080 0 HG00553 0.0444968
0 HG01089 0 HG01067 0.0457935
0 HG01124 0 HG01121 0.0474034
0 HG01168 0 HG00122 0.0448292
0 HG01174 0 HG00131 0.0472943
0 HG01250 0 HG01121 0.0453511
0 HG01414 0 HG01308 0.0453533
0 HG01437 0 HG00122 0.0568764
0 HG01437 0 HG01259 0.0648397
0 HG01437 0 HG01414 0.0517475
0 HG01444 0 HG00638 0.0457426
0 HG01444 0 HG01142 0.0519824
0 HG01444 0 HG01437 0.0474222
0 HG01494 0 HG01444 0.0496752
0 HG01536 0 HG00131 0.0450097
0 HG01536 0 HG00176 0.0523613
0 HG01551 0 HG01444 0.0489779
0 HG01610 0 HG00122 0.0464141
0 HG01610 0 HG00131 0.0468159
0 HG01704 0 HG00122 0.0504298
0 HG01704 0 HG00234 0.0458364
0 HG01704 0 HG00334 0.0460717
0 HG01704 0 HG01695 0.045478
0 HG01768 0 HG01536 0.0477748
0 HG01775 0 HG01536 0.0465607
0 HG01786 0 HG00111 0.0488697
0 HG01786 0 HG00122 0.0536308
0 HG01786 0 HG00379 0.0451365
0 HG01786 0 HG01378 0.0473483
0 HG01786 0 HG01605 0.0512278
0 HG01786 0 HG01771 0.0475252
0 HG01811 0 HG00533 0.0490821
0 HG01811 0 HG00596 0.0525633
0 HG01811 0 HG00698 0.0446685
